accuracy,loss,val_accuracy,val_loss
0.6409714818000793,0.917449414730072,0.8898305296897888,0.4858083128929138
0.8321013450622559,0.4793041944503784,0.8771186470985413,0.32528039813041687
0.8680042028427124,0.34744879603385925,0.9110169410705566,0.25348562002182007
0.9176346063613892,0.2600848376750946,0.9025423526763916,0.27070313692092896
0.9303062558174133,0.20784518122673035,0.8898305296897888,0.2517297565937042
0.9440338015556335,0.17853203415870667,0.8855932354927063,0.27424341440200806
0.9535374641418457,0.14666807651519775,0.9067796468734741,0.2414921075105667
0.9577613472938538,0.12695784866809845,0.9364407062530518,0.19417539238929749
0.9619852304458618,0.11253625899553299,0.9110169410705566,0.22098039090633392
0.9809926152229309,0.08143223822116852,0.9025423526763916,0.27065128087997437
0.9862724542617798,0.06312072277069092,0.9110169410705566,0.23458583652973175
0.9725448489189148,0.07925516366958618,0.8728813529014587,0.27776533365249634
0.985216498374939,0.04933992773294449,0.9152542352676392,0.2069159746170044
